Algorithm,Property Name,Clashing Algorithm, Possible Name Duplicates,usage
CylinderAbsorptionv1,SampleNumberDensity,IndirectFlatPlateAbsorptionv2,SampleDensity ,289
DgsReductionv1,SampleInputFile,LoadCIFv1,InputFile ,44
SphericalAbsorptionv1,SampleNumberDensity,VesuvioCalculateMSv1,SampleDensity ,21
IndirectCylinderAbsorptionv2,SampleDensity,IndirectCylinderAbsorptionv1,SampleDensityType ,25
ResNormv1,InputType,CalculateMuonAsymmetryv1,InputDataType ,0
SmoothNeighboursv1,SumPixelsX,SumNeighboursv1,SumX ,38
EQSANSResolutionv1,MinWavelength,AlignAndFocusPowderv1,CropWavelengthMin ,10831
FindDetectorsOutsideLimitsv1,HighThreshold,DetectorDiagnosticv1,HighThresholdFraction ,2901
MSDFitv1,XStart,IqtFitMultiplev1,StartX ,8
RefinePowderDiffProfileSeqv1,OutputProjectFilename,CreateLogTimeCorrectionv1,OutputFilename ,0
SetSampleMaterialv1,SampleMassDensity,VesuvioCalculateMSv1,SampleDensity ,372
CalculateCoverageDGSv1,IncidentEnergy,GetEiMonDetv2,NominalIncidentEnergy ,24555
SANSBeamSpreaderTransmissionv1,SpreaderTransmissionValue,SetupILLD33Reductionv1,TransmissionValue ,0
SANSSensitivityCorrectionv1,BeamCenterX,FindCenterOfMassPositionv2,CenterX ,6
SetupEQSANSReductionv1,BckTransmissionEmptyDataFile,SetupILLD33Reductionv1,TransmissionEmptyDataFile ,10888
ISISIndirectDiffractionReductionv1,CalFile,MaskDetectorsIfv1,InputCalFile OutputCalFile ,1
Stitch1DManyv1,ManualScaleFactor,ReflectometryReductionOnev1,ScaleFactor ,293
EQSANSTofStructurev1,WavelengthMax,PDToGUDRUNv1,CropWavelengthMax ,47572
SaveGSASInstrumentFilev1,InputFileName,VelocityCrossCorrelationsv1,InputFile ,2
BASISReductionv1,NormRunNumbers,RefLReductionv1,RunNumbers ,464
LoadCalFilev1,CalFilename,SCDCalibratePanelsv1,DetCalFilename ,13
SetupHFIRReductionv1,TransmissionBeamRadius,SetupILLD33Reductionv1,BeamRadius BckTransmissionBeamRadius ,4666
ReflectometryReductionOneAutov2,WavelengthMin,EQSANSResolutionv1,MinWavelength ,38
MaxMinv1,RangeUpper,Integrationv1,RangeUpperList ,4
Symmetrisev1,XMax,GSASIIRefineFitPeaksv1,MaxX ,6
CalibrateRectangularDetectorsv1,OutputFilename,RefinePowderDiffProfileSeqv1,OutputProjectFilename ,7
MSDFitv1,XStart,ConvolutionFitSequentialv1,StartX ,8
ElasticWindowMultiplev1,BackgroundRangeEnd,IndirectCalibrationv1,BackgroundRange ,22
ElasticWindowMultiplev1,BackgroundRangeEnd,CreateFlatEventWorkspacev1,RangeEnd ,22
SaveNexusProcessedv1,WorkspaceIndexMin,ScaleXv1,IndexMin ,383899
SANSDirectBeamTransmissionv1,BeamCenterY,SetupEQSANSReductionv1,SensitivityBeamCenterY TransmissionBeamCenterY ,5707
GetTimeSeriesLogInformationv1,FilterStartTime,FilterLogByTimev1,StartTime ,2
SNSPowderReductionv1,CropWavelengthMin,EQSANSResolutionv1,MinWavelength ,757
ChopDatav1,IntegrationRangeUpper,NormaliseToUnityv1,RangeUpper ,361
IndirectResolutionv1,ScaleFactor,ApplyPaalmanPingsCorrectionv1,CanScaleFactor ,17
CalculateEfficiencyv1,MaskedFullComponent,SetupHFIRReductionv1,MaskedComponent ,3
CorrectKiKfv1,EFixed,PreprocessDetectorsToMDv1,GetEFixed ,13578
MaskDetectorsv1,DetectorList,SANSMaskv1,MaskedDetectorList ,215615
RefinePowderDiffProfileSeqv1,InputProjectFilename,ModifyDetectorDotDatFilev1,InputFilename ,0
Stitch1Dv3,ManualScaleFactor,SANSStitchv1,ScaleFactor ,2088
SetupEQSANSReductionv1,BeamCenterX,SetupILLD33Reductionv1,SensitivityBeamCenterX TransmissionBeamCenterX ,10888
RefRoiv1,XPixelMin,StepScanv1,XMin ,25236
SetupHFIRReductionv1,BeamCenterY,FindCenterOfMassPositionv2,CenterY ,4666
SetupHFIRReductionv1,SensitivityBeamCenterMethod,SetupILLD33Reductionv1,BeamCenterMethod ,4666
GetDetectorOffsetsv1,GroupingFileName,PDToGUDRUNv1,GroupingFile ,1
ProcessBackgroundv1,OutputBackgroundType,GSASIIRefineFitPeaksv1,BackgroundType ,12
EQSANSResolutionv1,MaxWavelength,CreateTransmissionWorkspaceAutov1,WavelengthMax ,10831
NexusTesterv1,ChunkSize,LoadEventAndCompressv1,MaxChunkSize ,7
SetSampleMaterialv1,SampleNumberDensity,CylinderPaalmanPingsCorrectionv2,SampleDensity ,372
EQSANSResolutionv1,MaxWavelength,CreateTransmissionWorkspacev2,WavelengthMax ,10831
MedianDetectorTestv1,RangeUpper,ChopDatav1,IntegrationRangeUpper ,181
SetSampleMaterialv1,SampleNumberDensity,VesuvioThicknessv1,NumberDensity ,372
GroupDetectorsv2,DetectorList,SetupILLD33Reductionv1,MaskedDetectorList ,29978
CorrectLogTimesv1,LogNames,CreateLogPropertyTablev1,LogPropertyNames ,327
DakotaChiSquaredv1,DataFile,CatalogPublishv1,DataFileDescription ,5
DgsReductionv1,UseIncidentEnergyGuess,DgsConvertToEnergyTransferv1,IncidentEnergyGuess ,44
FindUBUsingMinMaxDv1,MaxD,AlignAndFocusPowderv1,DMax ,6
ISISIndirectDiffractionReductionv1,ContainerScaleFactor,IndirectCalibrationv1,ScaleFactor ,1
LoadNexusMonitorsv2,LoadHistoMonitors,LoadEventNexusv1,LoadMonitors ,24781
IndirectCylinderAbsorptionv1,CanDensity,FlatPlatePaalmanPingsCorrectionv1,CanDensityType ,10
MultipleScatteringCylinderAbsorptionv1,SampleNumberDensity,IndirectFlatPlateAbsorptionv2,SampleDensity ,4
SANSSensitivityCorrectionv1,FloodTransmissionError,SetupEQSANSReductionv1,TransmissionError ,6
ResampleXv1,NumberBins,SANSAzimuthalAverage1Dv1,NumberOfBins ,11
EQSANSTofStructurev1,WavelengthMaxFrame2,CreateTransmissionWorkspaceAutov2,WavelengthMax ,47572
ApplyPaalmanPingsCorrectionv1,CanScaleFactor,SANSFitShiftScalev1,ScaleFactor ,95
ExportExperimentLogv1,SampleLogNames,LoadSpiceAsciiv1,FloatSampleLogNames IntegerSampleLogNames StringSampleLogNames ,24
DgsReductionv1,IncidentEnergyGuess,GetEiv2,IncidentEnergy ,44
IndirectCylinderAbsorptionv1,SampleDensityType,IndirectFlatPlateAbsorptionv2,SampleDensity ,10
FilterByTimev1,AbsoluteStartTime,FilterLogByTimev1,StartTime ,828
SphericalAbsorptionv1,SampleNumberDensity,FlatPlatePaalmanPingsCorrectionv1,SampleDensity ,21
CalibrateRectangularDetectorsv1,PeakFunction,FitPeakv1,PeakFunctionType ,7
RefRoiv1,XPixelMin,ResampleXv1,XMin ,25236
VesuvioPeakPredictionv1,OutputTable,Symmetrisev1,OutputPropertiesTable ,1
StartLiveDatav1,PostProcessingScriptFilename,LoadLiveDatav1,ProcessingScriptFilename PostProcessingScript ,284
TOFSANSResolutionv1,MaxWavelength,UnwrapMonitorsInTOFv1,WavelengthMax ,8
IndirectCylinderAbsorptionv1,CanScaleFactor,He3TubeEfficiencyv1,ScaleFactor ,10
IntegratePeaksHybridv1,NumberOfBins,SetupILLD33Reductionv1,IQNumberOfBins IQ2DNumberOfBins ,3
ExtractMaskv1,DetectorList,SANSMaskv1,MaskedDetectorList ,890
FitPeakv1,CostFunctionValue,CalculateCostFunctionv1,CostFunction ,2
IntegratePeaksCWSDv1,ScaleFactor,Stitch1Dv3,ManualScaleFactor OutScaleFactor ,2725
RefLReductionv1,RunNumbers,BASISReduction311v1,NormRunNumbers ,14
SaveMDWorkspaceToVTKv1,RecursionDepth,CreateChunkingFromInstrumentv1,MaxRecursionDepth ,10
SANSDirectBeamTransmissionv1,BeamRadius,SetupILLD33Reductionv1,TransmissionBeamRadius ,5707
SphericalAbsorptionv1,SphericalSampleRadius,IndirectCylinderAbsorptionv1,SampleRadius ,21
IndirectAnnulusAbsorptionv1,CanScaleFactor,ReflectometryReductionOneAutov1,ScaleFactor ,10
IndirectILLReductionFWSv1,MapFile,LoadFITSv1,HeaderMapFile ,28
MagnetismReflectometryReductionv1,NormalizationRunNumber,SaveDiffFittingAsciiv1,RunNumber ,84
LoadNexusMonitorsv2,LoadEventMonitors,LoadEventNexusv1,LoadMonitors ,24781
CalculateTransmissionBeamSpreaderv1,MaxWavelength,CreateTransmissionWorkspacev1,WavelengthMax ,0
IndirectCylinderAbsorptionv2,CanDensityType,IndirectTransmissionv1,DensityType ,25
ILLIN16BCalibrationv1,ScaleFactor,IndirectFlatPlateAbsorptionv2,CanScaleFactor ,5
SaveLauenormv1,SortFilesBy,SaveHKLv1,SortBy ,35
IndirectAnnulusAbsorptionv2,SampleDensityType,VesuvioCorrectionsv1,SampleDensity ,17
TOFSANSResolutionv1,MaxWavelength,ReflectometryReductionOneAutov1,WavelengthMax ,8
CorrectLogTimesv1,LogNames,PDDetermineCharacterizationsv1,FrequencyLogNames ,327
CalculateTransmissionBeamSpreaderv1,SpreaderTransmissionValue,SetupILLD33Reductionv1,TransmissionValue ,0
RotateInstrumentComponentv1,ComponentName,SpecularReflectionPositionCorrectv1,DetectorComponentName SampleComponentName ,725374
MagnetismReflectometryReductionv1,AngleOffset,LiquidsReflectometryReductionv1,AngleOffsetError ,84
MaskDetectorsv1,DetectorList,SetupHFIRReductionv1,MaskedDetectorList ,215615
MaskDetectorsIfv1,OutputCalFile,SaveMaskv1,OutputFile ,1
SetupEQSANSReductionv1,IQLogBinning,SetupHFIRReductionv1,IQBinning ,10888
PawleyFitv1,PeakProfileFunction,GetDetOffsetsMultiPeaksv1,PeakFunction ,2
MergeCalFilesv1,OutputFile,ConvertSnsRoiFileToMaskv1,OutputFilePrefix ,9
