id,Title,State,Created At,Updated At,Assignee,isPR,Author,milestone
15929,Correccion to error computation in PDFFourierTransform,closed,2016-04-18,2016-05-02,jmborr,N,jmborr,Release 3.7
15928,LoadNexusLogsTest to test loading of measurement info,closed,2016-04-18,2017-01-16,KarlPalmen,N,KarlPalmen,
15927,Support qti/Mantid tables in pyplot.plot,open,2016-04-18,2016-10-03,FedeMPouzols,N,FedeMPouzols,
15926,Fix compiler warning in ObjCompAssemblyActor for debug build,closed,2016-04-18,2016-04-26,quantumsteve,Y,martyngigg,Release 3.7
15925,NXcanSas read and write,closed,2016-04-18,2016-05-11,MattKing06,Y,AntonPiccardoSelg,Release 3.7
15924,Indirect OSIRIS diffraction - Additional file for GSS output,closed,2016-04-18,2016-04-27,ElliotAOram,N,ElliotAOram,Release 3.7
15923,Inelastic Support for MonteCarloAbsorption algorithm,closed,2016-04-18,2016-04-27,FedeMPouzols,Y,martyngigg,Release 3.7
15922,ConvertUnits should set the EMode as a property on the workspace,closed,2016-04-18,2016-05-17,martyngigg,N,martyngigg,Release 3.7
15921,Remove release() call that's no longer necessary,closed,2016-04-18,2016-04-18,martyngigg,Y,quantumsteve,Release 3.7
15920,Integrate a FitPropertyBrowser and a DisplayCurveFit in the BackgroundRemover interface,closed,2016-04-17,2016-04-27,shahrozahmed1,Y,jmborr,Release 3.7
15919,Minor changes to MDNormDirectSC.,closed,2016-04-17,2016-04-21,AndreiSavici,Y,quantumsteve,Release 3.7
15918,Pass a const reference instead of a shared_ptr.,closed,2016-04-16,2016-04-18,martyngigg,Y,quantumsteve,Release 3.7
15917,DirectionCosines for LoadHKL and SaveHKL,closed,2016-04-15,2016-04-22,wdzhou,Y,VickieLynch,Release 3.7
15916,Update IndirectAnnulusAbsorption-v1.rst,closed,2016-04-15,2016-04-18,,Y,granrothge,
15915,Seg fault on table workspaces in MantidPlot,closed,2016-04-15,2016-05-06,NickDraper,N,AndreiSavici,Release 3.7
15914,Design for HKLs,open,2016-04-15,2016-10-20,VickieLynch,Y,MichaelWedel,
15913,Add a system test for new Pearl powder diffraction script,closed,2016-04-15,2016-04-28,shahrozahmed1,N,shahrozahmed1,Release 3.7
15912,Estimate width of peak using the data,closed,2016-04-15,2016-05-04,AntonPiccardoSelg,Y,NickDraper,Release 3.7
15911,Estimate a width for peaks picked using the peak picker tool in Mantidplot,closed,2016-04-15,2016-05-04,NickDraper,N,NickDraper,Release 3.7
15910,clang-tidy fixes,closed,2016-04-14,2016-04-23,martyngigg,Y,quantumsteve,Release 3.7
15909,Add Rebin and Scale post processing steps to RRO,closed,2016-04-14,2016-05-13,raquelalvarezbanos,Y,MattKing06,Release 3.7
15908,TOFTOF refactoring1,closed,2016-04-14,2016-04-20,martyngigg,Y,mganeva,Release 3.7
15907,Engg GUI: Enable GUI to load the saved peak files,closed,2016-04-14,2016-09-16,DavidFair,N,shahrozahmed1,Release 3.8
15906,Engg GUI: Enable single peak fitting for multiple runs,closed,2016-04-14,2016-05-12,shahrozahmed1,N,shahrozahmed1,Release 3.7
15905,Add tables to LoadMuonNexus v2 documention to explain loading,closed,2016-04-14,2016-04-22,tom-perkins,Y,KarlPalmen,Release 3.7
15904,Indirect - Additional DRange value added to OSIRISDiffractionReduction,closed,2016-04-14,2016-04-20,FedeMPouzols,Y,ElliotAOram,Release 3.7
15903,Indirect - Additional DRange value OSIRISDiffractionReduction,closed,2016-04-14,2016-04-20,ElliotAOram,N,ElliotAOram,Release 3.7
15902,Instrument view miniplot x label,open,2016-04-14,2016-10-14,mantid-roman,N,tom-perkins,Temporary Holding
15901,Updates to Fitting concept page,closed,2016-04-13,2016-05-13,Anders-Markvardsen,N,Anders-Markvardsen,Release 3.7
15900,Show detectors does not print detector's id any more,closed,2016-04-13,2016-05-09,NickDraper,N,abuts,
15899,Fix alloc-dealloc-mismatch caught by address sanitizer.,closed,2016-04-13,2016-04-14,AndreiSavici,Y,quantumsteve,Release 3.7
15898,Engg GUI: change of units for fitting tab,closed,2016-04-13,2016-04-21,FedeMPouzols,Y,shahrozahmed1,Release 3.7
15897,Translate RAL_NLLS fortran fitting library to C++.,closed,2016-04-13,2016-06-23,mantid-roman,N,mantid-roman,Release 3.8
